,taxroll_number,net_area,basement_finished,has_garage,has_fireplace,assessed_value,lot_size,building_count,walkout_basement,air_conditioning,valuation_group,tot_gross_area_description,lon,lat
0,10195786,188.5,1,1,1,470500,482.279,1,0,0,0,227.5,-113.4309934,53.42459904
1,10195785,178.0,0,1,1,442500,396.875,1,0,0,0,215.6,-113.4312314,53.42455974
2,10195784,178.3,0,1,1,448000,403.359,1,0,0,0,217.1,-113.4314165,53.42454939
3,10195783,182.8,0,1,1,447500,375.192,1,0,0,0,226.0,-113.4315785,53.42454791
4,10195780,199.9,0,1,1,462000,399.361,1,0,0,0,238.9,-113.4320708,53.42454127
5,10195776,174.1,1,1,0,443500,407.266,1,0,0,0,211.7,-113.4327255,53.4245309
6,10195775,186.9,0,1,1,452500,388.867,1,0,0,0,227.8,-113.4328886,53.42452943
7,10195770,208.5,1,1,1,482500,414.617,1,0,0,0,247.3,-113.4330518,53.42452571
8,10011688,158.01,1,1,1,453500,615.052,1,0,0,0,200.25,-113.4649493,53.42460995
9,10011673,160.4,0,1,1,448000,482.333,1,0,0,0,199.2,-113.4654034,53.42403912
10,10011686,121.4,0,1,1,393500,409.355,1,0,0,0,160.7,-113.4654413,53.42454251
11,10011674,173.6,0,1,1,460000,446.452,1,0,0,0,210.3,-113.4655884,53.42403994
12,10011685,182.1,0,1,1,450500,423.404,1,0,0,0,217.4,-113.4656066,53.42453876
13,10011675,175.5,0,1,1,461500,444.748,1,0,0,0,213.6,-113.4657628,53.42404072
14,10011684,160.4,1,1,1,441500,421.362,1,0,0,0,203.3,-113.465772,53.4245395
15,10011676,179.6,0,1,1,462500,457.932,1,0,0,0,215.9,-113.4659633,53.42401916
16,10011683,135.3,0,1,1,407000,402.106,1,0,0,0,175.4,-113.465953,53.42456053
17,10011677,203.04,0,1,1,506000,510.14,1,0,0,0,242.64,-113.4662145,53.42398433
18,10011682,186.9,0,1,1,456500,426.56,1,0,0,0,225.9,-113.4661628,53.42458393
19,10011678,207.4,0,1,1,523500,842.785,1,0,0,0,250.5,-113.4664648,53.42399444
