,True Assessed Value,multi-linear,lasso,ridge,RFR,XGBoost
0,469500,547716.9775353968,547713.5330706835,547569.7440677211,470969.0,464176.78125
1,423000,494913.38356528804,494909.7289018817,494760.73146729916,435585.0,422233.75
2,433500,450769.4269953035,450765.9143163003,450613.1985537894,434630.0,424104.0
3,435500,444192.85066637024,444189.3485197127,444036.3993872404,441193.0,427931.6875
4,468000,547228.5912844241,547225.1657329984,547081.843913462,470044.0,465296.65625
5,463500,478527.29910191894,478524.69866802916,478397.6101185642,459489.0,460942.0
6,344500,308178.3134777881,308177.3022091724,308078.44958382845,390789.0,413377.8125
7,465500,482889.6518936232,482887.30967273936,482848.52712389454,517356.0,534439.625
8,396000,392707.6858818494,392706.4338532239,392656.36077110097,401989.0,405696.59375
9,401500,392362.3730142452,392361.0855059363,392310.0221423358,396178.0,395844.71875
10,410500,365458.7313914858,365456.3620274253,365408.6495125219,378117.0,379920.78125
11,408000,371558.44350128993,371557.33069760725,371504.58090039715,419778.0,386552.25
12,396000,396019.30849115923,396018.07748522237,395968.6767341271,399455.0,394625.0625
13,404500,418140.1560110152,418137.8946242742,418096.77751522884,423460.0,422135.71875
14,401500,414186.8378335126,414185.63905984536,414138.2260360271,412722.0,406989.21875
15,440000,452759.2859789394,452758.1392313577,452714.3704833463,434134.0,432373.40625
16,678500,620096.9081240445,620094.6332070082,620049.4271788038,729226.0,704324.0625
17,654500,689022.651405029,689018.9194203243,688960.1206360497,658431.0,725243.8125
18,602000,524986.1160050854,524983.656604331,524930.6806692742,624850.0,590809.9375
19,616000,501560.33300288394,501558.00315488875,501502.3541054353,615752.0,599301.8125
20,796500,738172.6172811836,738170.6101922654,738140.7948914357,993019.0,860147.0625
21,995000,764579.7644561008,764580.7540064938,764598.8551051952,972434.0,989997.0625
22,667000,530750.6046457477,530751.4718957655,530749.0461372323,704408.0,841258.875
23,1331000,858443.8177287504,858442.5610859953,858457.1023148894,1113083.0,1278028.5
24,664500,484428.92737109214,484428.6824301593,484427.89839224145,678095.0,667349.625
25,822500,618787.6027117297,618787.6314495057,618804.3027042896,756483.0,825860.1875
26,1088500,829708.5529268011,829708.8893537931,829744.1140598655,1282242.0,1257259.875
27,780000,633346.7536919415,633346.8012836166,633363.7438147552,829784.0,830671.8125
28,591000,422983.14587392285,422983.26143655926,422986.74761268497,512198.0,519620.125
29,178500,187455.50414519757,187455.9264980629,187496.34129766002,219208.0,211498.515625
30,289000,284968.0331642851,284970.9493307732,285020.0012808703,269389.0,270345.21875
31,268000,283970.03337301686,283972.87388371676,284019.75130310655,268278.0,264531.0625
32,269500,288125.54484378546,288128.37545250356,288175.2638444826,272361.0,279815.1875
33,226000,221797.7687402591,221800.66420462728,221844.49780958146,248027.0,214392.5
34,237000,256669.4491139613,256672.08455377445,256711.22500316054,251700.0,272277.46875
35,228500,222215.6228282787,222216.3718359582,222219.94422519207,221370.0,268135.625
36,273500,244603.26847872138,244606.16772624478,244700.0809986107,274470.0,279788.5
37,347000,388062.41507667676,388065.33372018486,388121.77299299464,343762.0,338808.6875
38,176000,185665.50865910575,185666.03109473363,185709.0935034752,180282.0,170700.234375
39,259000,262950.9725051895,262954.01151866093,263004.3888031244,266340.0,262425.90625
40,249500,248787.23269096017,248790.27998711914,248839.63263180852,248994.0,244588.109375
41,331000,297881.3927009478,297884.1468302049,298051.75611147285,344749.0,351047.625
42,389000,372382.6443501264,372385.4872591682,372561.1255366318,426535.0,417611.03125
43,358000,367015.37308222055,367018.0428689718,367194.12367048487,362651.0,353796.78125
44,414000,492662.5565195754,492665.60386342555,492856.8386984691,441476.0,440417.125
45,455000,671372.8798678741,671375.477353368,671571.7241256274,515089.0,487625.4375
46,340500,301621.31022046134,301625.22653412074,301791.6867951676,355193.0,337337.75
47,351500,285807.5832944177,285811.54529864714,285978.3851526305,358413.0,351300.75
48,526000,413547.5005133338,413545.19510805234,413484.20400330797,537502.0,529102.9375
49,543000,478363.10883486643,478360.6645303406,478304.8375330642,542720.0,552546.8125
50,558000,478242.2257139161,478239.7977056578,478184.718016427,555494.0,560656.625
51,545000,478368.8508579321,478366.41268356144,478310.672229819,545084.0,550003.0
52,262000,285736.5493121408,285739.31519206986,285780.3443705514,302375.0,315432.875
53,235000,242124.46652249992,242127.0433099717,242216.7065116763,236794.0,225961.0625
54,201500,78486.70327391103,78489.28386569023,78509.8992654346,257241.0,222015.390625
55,172500,187534.14929452538,187534.57250631973,187575.4030828327,213009.0,202962.515625
56,270500,260244.54852527007,260247.44538876787,260290.15817856044,284018.0,296225.28125
57,180500,186071.46247585863,186071.92360453308,186114.32294406742,201651.0,203699.28125
58,217500,218814.21321198344,218817.30152817816,218862.71875867993,276944.0,279257.46875
59,245500,246373.92319775745,246376.78807633743,246421.980672054,250452.0,221273.734375
60,217500,293390.8443856649,293393.798182562,293440.39591681585,298682.0,301078.40625
61,318000,376329.5830255896,376332.4712811075,376387.66832138225,337287.0,336560.03125
62,264000,291698.7342889644,291701.6871350147,291752.9759364687,278008.0,305756.5
63,324000,383526.26859723404,383529.215604119,383586.51835502684,341286.0,364877.34375
64,255000,261066.07428496704,261069.01303495467,261117.1662416421,260699.0,269749.6875
65,303500,342863.3620749004,342866.3649038002,342922.1729045361,303972.0,312571.3125
66,182500,187615.0390302688,187615.65220162645,187661.87424323335,262910.0,195688.640625
67,559500,478141.5407179482,478139.128366787,478084.7033330351,563125.0,560656.625
68,572500,413438.9913515784,413436.72661357373,413377.251901675,561267.0,550547.0
69,288000,456761.7386604957,456759.82990947366,456697.65188746527,427318.0,408149.34375
70,337000,395681.43676295877,395678.59697814286,395603.360061951,343626.0,363112.78125
71,339000,353157.84540720284,353155.2434343621,353101.6998109184,376615.0,361750.1875
72,342000,359140.0000395067,359138.3665920906,359076.75259539485,364139.0,361411.65625
73,284500,295120.20081401616,295118.7032070309,295056.11903759465,335359.0,309924.96875
74,337500,427086.1225981973,427084.5602058843,427029.734056402,416810.0,421435.40625
75,336500,406398.9657569416,406397.4317041971,406341.54176359624,430335.0,410411.25
76,826500,576818.98541959,576818.9572908841,576826.6180136986,751526.0,926696.0
77,616000,462516.81274918094,462516.4551427178,462511.7334308028,583248.0,628278.25
78,623500,569628.5712338649,569628.3406731561,569634.9023276679,706668.0,739739.0
79,647500,537440.7203978375,537440.5329705589,537445.9387603998,668874.0,736416.375
80,630500,478156.69070344046,478156.45574605465,478155.85625547916,666916.0,720243.375
81,639500,536077.0169842169,536076.8818898015,536083.3785249777,683706.0,745493.8125
82,859500,539785.6845236234,539785.7607290223,539793.9602809548,728008.0,731762.75
83,753000,579970.7270956002,579970.4642962255,579976.7526482269,730674.0,757102.0625
84,640500,487283.84505981207,487284.79570428655,487282.75676460564,673502.0,643978.8125
85,1140500,789053.854345601,789052.7357404754,789067.2918790616,1103905.0,1115663.75
86,783500,593193.8985519968,593192.5181847215,593185.5791869015,720959.0,708619.8125
87,921000,862595.0237229057,862595.2589932978,862635.430246532,1101970.0,1038844.5
88,819000,631530.6238508895,631530.8079769053,631551.7678113617,900233.0,910502.3125
89,456500,725156.7351401933,725158.5704563446,725350.0309424661,507258.0,485874.53125
90,438000,511674.9129916206,511677.85983342305,511872.28939022496,433951.0,412745.375
91,414500,312656.15124971047,312660.872101523,312870.2644657232,415808.0,412745.5
92,395500,344471.75193353,344475.3783308454,344692.3550570458,416467.0,417307.96875
93,467000,495895.22475064173,495898.94163841754,496129.2811667472,460700.0,461645.9375
94,415500,454033.8952111155,454038.51090388,454260.809895888,437780.0,428950.4375
95,413000,378111.95275434107,378115.6226435229,378337.3319843337,418161.0,432920.0
96,330500,512757.81113969535,512755.42623768747,512714.611072775,525296.0,497956.59375
97,427000,349948.6974318512,349946.0913976468,349893.1529751532,375929.0,365573.0625
98,406500,371548.6806192212,371547.03807292506,371486.56965536997,376226.0,373192.375
99,352500,360886.56565518305,360885.0392048955,360826.9201984145,370657.0,373420.8125
100,357000,398169.2199047059,398167.5306266844,398107.5904274471,387222.0,379479.5
101,405000,398838.84530643746,398836.2383448109,398786.1318459809,408262.0,393188.28125
102,392000,372431.154142797,372429.7664850354,372376.16748983413,388562.0,385174.9375
103,373000,369800.4019740373,369798.7751026079,369790.9728090465,366365.0,373549.03125
104,426000,409009.02908992395,409006.5601593815,408961.36295604706,407337.0,416614.03125
105,415500,415542.5476150885,415539.94414841384,415491.51242552325,400554.0,398458.84375
106,383000,365808.0398914367,365806.85830872506,365758.2081120126,386361.0,391348.75
107,442500,432115.4022578448,432114.19341693446,432070.2382607162,421828.0,425622.875
108,413500,383975.02223334834,383973.78221300244,383925.4494981617,405101.0,404024.46875
109,358000,369728.2885206863,369726.6977057867,369719.82366667315,366398.0,370382.46875
110,647000,504021.3270013407,504021.2169379741,504026.6057240255,680324.0,650621.625
111,481000,434524.694476109,434525.6958608888,434517.5736796856,525520.0,534452.25
112,762000,665509.0389808454,665509.1979451738,665532.8203483596,1002856.0,913910.625
113,687000,542698.1416024044,542696.7539633512,542686.797901541,577154.0,542363.0
114,555500,491621.4807529375,491621.3020564616,491623.92322692275,583136.0,549691.0
115,533500,451929.68494426087,451930.6649867408,451926.54167729244,563635.0,553067.0625
116,535500,432817.4331959784,432818.62853258476,432819.7412775047,549035.0,478151.78125
117,616500,191920.77501361817,191920.561340753,191946.9070699215,726990.0,533868.375
118,594500,564190.166958347,564186.9539555721,564125.5104555078,514407.0,532220.9375
119,536000,457941.8291322179,457940.0983489938,457890.6509542167,537461.0,537133.5
120,550500,614176.0875889473,614172.9171288535,614116.5980344638,555307.0,574970.4375
121,542500,461473.77528165653,461472.05179208145,461423.1972697675,547435.0,547577.1875
122,581500,522531.1867041923,522529.332176663,522485.81781472266,554447.0,558570.3125
123,536000,457829.7518228479,457828.0325882733,457779.24324505776,538797.0,536878.875
124,537000,461380.62860549614,461378.92469127104,461330.79601899907,546274.0,545006.625
125,431000,510470.86001352593,510467.0201690346,510386.39231226966,431971.0,425132.46875
126,632500,869925.5492001362,869919.3426176086,869775.1522156671,584939.0,580262.3125
127,413000,396346.49604158103,396344.11242322624,396301.372429505,408755.0,410283.125
128,426500,442669.9028877951,442668.4730430506,442619.63069433346,424738.0,414497.0
129,428500,374529.5946184322,374528.0998428613,374473.04457426444,371326.0,376077.625
130,440000,409380.43057903275,409378.30935618654,409342.80126867443,413467.0,419307.25
131,499000,532392.448136609,532390.9711967781,532346.7773298584,530638.0,522748.65625
132,392000,399280.95356338844,399278.9167819917,399244.970594611,426457.0,439974.0
133,397000,437781.2375920415,437779.4263449833,437703.7204103656,430093.0,429663.40625
134,656500,398327.11137146875,398325.68745016307,398313.2917932123,421170.0,453656.5625
135,359500,438774.8898688741,438777.6396965794,438885.5850346312,350415.0,309886.78125
136,374500,444780.40966556966,444782.85508686304,444834.1971456632,413015.0,379844.8125
137,326500,406019.85802583024,406021.3429979123,406078.5579320751,346618.0,379597.3125
138,316500,329596.1430953294,329599.26255938783,329657.17969883606,323579.0,288437.6875
139,409000,497338.2604034208,497340.12226418406,497413.7995106727,431302.0,435241.03125
140,367500,410392.1609127484,410393.9510710202,410459.28968011215,342054.0,343005.59375
141,443500,383285.94019345567,383283.9815330282,383227.4524021074,439108.0,442818.40625
142,379500,306028.95324544236,306031.7723841518,306197.3823601045,373104.0,381153.84375
143,401500,340436.322051283,340440.23688773066,340603.01108391955,387613.0,394776.8125
144,462500,555641.228359472,555644.2165149152,555832.3594651073,467363.0,474461.75
145,393000,316188.75603652373,316191.5043448992,316356.53287503123,386343.0,386637.6875
146,395500,372308.9177597165,372312.77473900095,372477.92902826145,409914.0,389684.625
147,428500,424448.7098851949,424451.57539721206,424628.4584366791,426686.0,429567.0625
148,367000,369415.1501447782,369419.2534224801,369594.5926926732,415980.0,415336.875
149,451500,533249.228937082,533252.1211961396,533445.7101109996,465392.0,433282.59375
150,419500,443445.65429921076,443448.50847901404,443635.27389122173,415053.0,411159.78125
151,431500,486339.2626327239,486342.14800469205,486532.8211184181,434715.0,448653.21875
152,427500,371674.2171927318,371675.4082576707,371673.7417319305,403683.0,436030.9375
153,401500,291854.33905753493,291855.6867310703,291848.1413737647,395297.0,396665.625
154,674000,893042.7833449617,893038.8016019724,892986.8832661398,697504.0,608249.625
155,346500,405996.4535375312,405993.56391542405,405901.1716131866,353349.0,337883.15625
156,339000,389623.6473490298,389619.58865696564,389529.36112842336,346933.0,319396.5
157,382000,549216.9753936455,549213.0257334337,549136.8199675679,475908.0,420662.09375
158,368500,547675.3093715124,547669.9398861453,547572.0476046465,372600.0,365617.0625
159,312500,373684.70224342495,373681.7269429453,373585.0428708419,339450.0,307635.8125
160,349500,432318.0510465689,432314.04968389496,432228.48849591985,370595.0,343499.65625
161,354000,538878.3976085111,538874.2188692428,538773.2228870466,355466.0,376309.3125
162,482000,524410.0145146698,524407.6260540746,524374.549279362,530368.0,570926.5
163,438000,468160.4430747479,468157.70022395626,468111.27615235373,434555.0,487042.03125
164,398000,383969.3586206883,383968.05387496576,383920.47978133336,394771.0,402091.875
165,390500,375490.88048411906,375489.58035666496,375441.6889570989,391002.0,384719.6875
166,420000,459551.3983360529,459548.87765995413,459509.07769011706,409515.0,441659.75
167,399000,401024.6266843304,401023.2929080054,400976.4962332845,401148.0,415170.9375
168,428000,363064.6624043584,363063.5097054988,363019.50530765206,388108.0,388362.21875
169,426500,446612.4359634854,446611.29685071856,446571.74074847624,446626.0,421735.125
170,495000,381309.1154980026,381308.1311471611,381268.2005043216,396024.0,430508.46875
171,479500,366135.1046641171,366134.1022708304,366092.74486050755,393737.0,410148.09375
172,456000,382705.5370438956,382704.19323536754,382707.64684198424,391962.0,387259.6875
173,535000,434019.4490612373,434018.50101435184,433983.7189029753,464563.0,456261.125
174,283000,225129.74051392823,225128.47071380168,225122.38216724247,235800.0,218799.203125
175,594000,484934.19621162117,484932.12746391445,484905.08206603304,471368.0,441270.09375
176,367500,320278.0070046261,320278.1590809673,320247.0835133083,364563.0,347191.4375
177,334000,189871.68874782696,189870.79156255722,189882.16733935848,355485.0,392359.71875
178,513000,585864.6995972358,585865.4244981185,585863.9697776064,687224.0,517446.0
179,590000,440904.2342235446,440904.8658087142,440893.6640408039,545849.0,580080.0625
180,667500,444611.86505635455,444611.254641179,444601.4629959315,578365.0,589858.375
181,736000,753280.8533726074,753280.5622711442,753355.2091256268,940154.0,971939.6875
182,803000,735152.5127362087,735153.5468632169,735175.3930231705,1042152.0,1057267.75
183,1074000,981365.2383179329,981365.2695829757,981411.5028862432,1448730.0,1446958.375
184,807000,762857.6971156001,762857.5095170774,762882.48525282,1107642.0,1046172.75
185,899000,667669.6483053342,667670.6848342828,667686.6780029461,908090.0,954813.875
186,440000,416295.96164816245,416296.72385462373,416287.3718415834,502265.0,494256.15625
187,363000,352419.81906527653,352419.0120553635,352355.6379749328,391965.0,436070.4375
188,478000,498605.7540044598,498609.5878072269,498844.8314092681,470994.0,454947.53125
189,269500,400511.9429101236,400515.5137681663,400740.828110639,447769.0,455498.46875
190,415500,347500.01033427566,347503.5950372331,347726.10252759233,399885.0,412151.1875
191,503500,474526.65936565027,474530.5101087317,474764.6113432683,482159.0,475545.6875
192,355500,394445.3523155749,394442.3856104128,394336.214327544,368057.0,363157.5
193,377000,416137.0524408594,416133.0393773243,416034.7012051232,378093.0,388377.3125
194,362000,387951.3630161211,387948.5307892971,387845.0850394368,363236.0,368905.15625
195,356000,378241.4472880438,378238.6043249108,378134.6137139946,357121.0,357684.4375
196,407500,479702.00265643746,479698.0582041703,479606.2128305994,411624.0,429580.53125
197,357500,382705.86390367895,382703.0927524306,382601.3918883279,357490.0,365668.28125
198,371000,503247.5411218256,503243.3200289421,503126.9353379123,373750.0,398291.84375
199,388500,429061.54266402125,429057.668003615,428964.0603316799,391084.0,400416.75
200,389500,339186.9086940512,339184.4661629051,339138.25296936557,388055.0,377564.15625
201,417000,364914.8356151059,364912.2767474465,364864.21834438294,375647.0,388551.5625
202,361500,283879.2007425204,283877.92915451154,283820.1836005859,358550.0,368005.25
203,362500,350614.6865294166,350613.5072897896,350567.2449209206,378511.0,374697.4375
204,399000,420140.33663348854,420139.0029123761,420093.9985839389,406915.0,409563.09375
205,353500,347483.08727067336,347481.6579202339,347481.29826049134,353637.0,341027.375
206,493500,622214.0722296424,622213.8495763354,622204.6602422781,516636.0,511471.65625
207,493000,547209.5843125135,547209.0891489498,547191.6248548068,482089.0,485181.0625
