,build_year_mbc
0,11.0
1,11.0
2,11.0
3,12.0
4,12.0
5,11.0
6,11.0
7,12.0
8,18.0
9,17.0
10,17.0
11,17.0
12,17.0
13,17.0
14,18.0
15,18.0
16,17.0
17,17.0
18,18.0
19,18.0
20,18.0
21,18.0
22,16.0
23,16.0
24,16.0
25,16.0
26,16.0
27,16.0
28,16.0
29,16.0
30,16.0
31,16.0
32,16.0
33,16.0
34,16.0
35,16.0
36,16.0
37,49.0
38,87.0
39,53.0
40,67.0
41,92.0
42,58.0
43,62.0
44,61.0
45,57.0
46,61.0
47,61.0
48,61.0
49,61.0
50,62.0
51,62.0
52,61.0
53,62.0
54,59.0
55,60.0
56,61.0
57,62.0
58,63.0
59,62.0
60,62.0
61,62.0
62,62.0
63,62.0
64,62.0
65,61.0
66,62.0
67,59.0
68,56.0
69,59.0
70,61.0
71,60.0
72,60.0
73,20.0
74,20.0
75,20.0
76,20.0
77,20.0
78,20.0
79,20.0
80,20.0
81,20.0
82,20.0
83,19.0
84,20.0
85,12.0
86,104.0
87,19.0
88,72.0
89,70.0
90,45.0
91,71.0
92,73.0
93,44.0
94,45.0
95,36.0
96,72.0
97,70.0
98,10.0
99,28.0
100,45.0
101,59.0
102,71.0
103,71.0
104,70.0
105,43.0
106,38.0
107,70.0
108,71.0
109,71.0
110,56.0
111,9.0
112,55.0
113,61.0
114,39.0
115,34.151212518231034
116,77.0
117,53.0
118,62.0
119,9.0
120,50.0
121,69.0
122,73.0
123,34.151212518231034
124,63.0
125,34.151212518231034
126,34.151212518231034
127,34.151212518231034
128,64.0
129,55.0
130,55.0
131,76.0
132,63.0
133,69.0
134,70.0
135,69.0
136,43.0
137,43.0
138,43.0
139,38.0
140,44.0
141,44.0
142,43.0
143,43.0
144,43.0
145,41.0
146,43.0
147,44.0
148,44.0
149,43.0
150,43.0
151,43.0
152,44.0
153,41.0
154,43.0
155,41.0
156,42.0
157,42.0
158,40.0
159,41.0
160,38.0
161,35.0
162,33.0
163,44.0
164,43.0
165,41.0
166,43.0
167,43.0
168,20.0
169,19.0
170,20.0
171,19.0
172,20.0
173,19.0
174,20.0
175,19.0
176,20.0
177,20.0
178,19.0
179,20.0
180,34.0
181,112.0
182,108.0
183,11.0
184,79.0
185,75.0
186,67.0
187,92.0
188,67.0
189,73.0
190,70.0
191,34.151212518231034
192,34.151212518231034
193,34.151212518231034
194,69.0
195,76.0
196,64.0
197,61.0
198,73.0
199,52.0
200,71.0
201,34.151212518231034
202,73.0
203,45.0
204,50.0
205,64.0
206,68.0
207,70.0
208,53.0
209,65.0
210,8.0
211,63.0
212,66.0
213,65.0
214,61.0
215,66.0
216,64.0
217,73.0
218,45.0
219,55.0
220,34.151212518231034
221,71.0
222,19.0
223,74.0
224,70.0
225,70.0
226,19.0
227,59.0
228,69.0
229,56.0
230,65.0
231,20.0
232,20.0
233,20.0
234,20.0
235,20.0
236,20.0
237,20.0
238,20.0
239,20.0
240,20.0
241,20.0
242,20.0
243,20.0
244,20.0
245,66.0
246,66.0
247,63.0
248,66.0
249,66.0
250,66.0
251,65.0
252,64.0
253,66.0
254,65.0
255,46.0
256,46.0
257,53.0
258,63.0
259,60.0
260,58.0
261,58.0
262,76.0
263,55.0
264,51.0
265,36.0
266,51.0
267,62.0
268,45.0
269,57.0
270,71.0
271,67.0
272,69.0
273,70.0
274,38.0
275,13.0
276,18.0
277,18.0
278,58.0
279,58.0
280,18.0
281,34.0
282,36.0
283,35.0
284,36.0
285,36.0
286,44.0
287,39.0
288,42.0
289,43.0
290,43.0
291,43.0
292,44.0
293,43.0
294,44.0
295,44.0
296,43.0
297,39.0
298,43.0
299,44.0
300,43.0
301,36.0
302,39.0
303,38.0
304,21.0
305,21.0
306,21.0
307,25.0
308,21.0
309,21.0
310,25.0
311,23.0
312,23.0
313,23.0
314,17.0
315,17.0
316,18.0
317,10.0
318,17.0
319,18.0
320,17.0
